URN,Perseus,Text,SOL
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄγλαυρος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aglauros,Ἄγλαυρος: ἡ θυγάτηρ Κέκροπος. ἔστι δὲ καὶ ἐπώνυμον Ἀθηνᾶς.,"alpha,268"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἁγνεύετε_τὴν_πόλιν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.hagneuete_ten_polin,"Ἁγνεύετε τὴν πόλιν: <person TLG=""0028"">Ἀντιφῶν</person> ἐν τῷ <work TLG=""0028.002"">β</work><ref TLG=""0028.002.3.11""/> ἀντὶ τοῦ ἁγνίζετε.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἁγνίας,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agnias,"Ἁγνίας: <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ <work TLG=""0017.000"">πρὸς Εὐκλείδην</work> περὶ χωρίου. τοῦτον καὶ τοὺς συμπρεσβευτὰς αὐτοῦ φησὶν <person TLG=""1125"">Ἀνδροτίων</person> ἐν ε τῆς <work TLG=""1125.000"">Ἀτθίδος</work> καὶ <person TLG=""0583"">Φιλόχορος</person> ὡς ἑάλωσάν τε καὶ ἀπέθανον ὑπὸ Λακεδαιμονίων.","alpha,275"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγνοῦς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agnous,"Ἀγνοῦς: δῆμος τῆς Ἀκαμαντίδος φυλῆς· ὁ δημότης Ἀγνούσιος. <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.018"">ὑπὲρ Κτησιφῶντος</work><ref TLG=""0014.018.21""/>.","alpha,282"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγνωμόνως,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agnomonos,"Ἀγνωμόνως: ἀντὶ τοῦ ἀλογίστως καὶ ἀβούλως <person TLG=""0014"">Δημοσθένης</person> ἐν τοῖς Φιλιππικοῖς<ref TLG=""0014.002.26""/>.","alpha,284"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγοράς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agoras,"Ἀγοράς: <person TLG=""0030"">Ὑπερείδης</person> ἐν τῷ κατὰ Πολυεύκτου περὶ τοῦ διαγράμματος ""οὗτοι πολλάκις ἀγορὰς ποιοῦνται."" μήποτε ἀντὶ τοῦ συνόδους νῦν. σημαίνει δὲ καὶ ἕτερα τοὔνομα.","alpha,303"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγορανόμοι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agoranomoi,"Ἀγορανόμοι: οἱ τὰ κατὰ τὴν ἀγορὰν ὤνια διοικοῦντες ἄρχοντες· <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.024"">κατὰ Τιμοκράτους</work><ref TLG=""0014.024.112""/>. <person TLG=""0086"">Ἀριστοτέλης</person> δ' ἐν <work TLG=""0086.003"">Ἀθηναίων πολιτείᾳ</work><ref TLG=""0086.003.51.1""/> κληροῦσθαί φησι ε μὲν εἰς <place pleiades=""580062"">Πειραιᾶ</place>, ε δὲ εἰς ἄστυ.","alpha,302"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγοράσαι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agorasai,"Ἀγοράσαι: ἀντὶ τοῦ ὠνήσασθαι <person TLG=""0030"">Ὑπερείδης</person> ἐν τῷ Δηλιακῷ.","alpha,304"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγραφίου,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agrafiou,"Ἀγραφίου: εἶδός τι δίκης οὕτω καλουμένης κατὰ τῶν ὀφειλόντων μὲν τῷ δημοσίῳ καὶ διὰ τοῦτο ἐγγραφέντων, εἶτα πρὶν ἐκτῖσαι ἐξαλειφθέντων. διδάσκουσι δὲ τοῦθ' οὕτως ἔχειν <person TLG=""0014"">Δημοσθένης</person> τε ἢ <person TLG=""0029"">Δείναρχος</person> ἐν τῷ <work TLG=""0014.058"">κατὰ Θεοκρίνου</work><ref TLG=""0014.058.51|0014.058.52""/> καὶ <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ κατ' Ἀριστογείτονος, ἔτι τε Πυθέας ἐν τῇ πρὸς τὴν ἔνδειξιν ἀπολογίᾳ.","alpha,343"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγρίους,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agrious,"Ἀγρίους: <person TLG=""0026"">Αἰσχίνης</person> ἐν τῷ <work TLG=""0026.001"">κατὰ Τιμάρχου</work><ref TLG=""0026.001.52""/> τοὺς σφόδρα ἐπτοημένους περὶ τὰ παιδικὰ καὶ χαλεποὺς παιδεραστάς φησι. καὶ ἄγριον κυβευτὴν <person TLG=""0541"">Μένανδρος</person> λέγει τὸν σφόδρα κυβεύειν ἐσπουδακότα.","alpha,360"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγρυλή,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agrule,"Ἀγρυλή: δῆμος τῆς Ἐρεχθηΐδος φυλῆς, καὶ ὁ δημότης Ἀγρυλεύς, ἐπίρρημα δὲ τοπικὸν Ἀγρυλῆθεν.","alpha,379"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγυιᾶς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aguias,"Ἀγυιᾶς: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.021"">κατὰ Μειδίου</work> <qverse TLG=""0014.021.51"">χοροὺς ἱστάναι κατὰ τὰ πάτρια καὶ κνισᾶν ἀγυιᾶς.</qverse> ἔνιοι μὲν ὀξύνουσι θηλυκῶς χρώμενοι, οἷον τὰς ὁδούς· βέλτιον δὲ περισπᾶν ὡς ἀπὸ τοῦ ἀγυιεύς. ἀγυιεὺς δέ ἐστι κίων εἰς ὀξὺ λήγων, ὃν ἱστᾶσι πρὸ τῶν θυρῶν, ὡς σαφὲς ποιοῦσιν <person TLG=""0019"">Ἀριστοφάνης</person> τε ἐν Σφηξὶ καὶ <person TLG=""0461"">Εὔπολις</person>. ἰδίους δὲ εἶναι φασιν αὐτοὺς Ἀπόλλωνος, οἱ δὲ Διονύσου, οἱ δὲ ἀμφοῖν. ἔστιν οὖν τὸ ὁλόκληρον ἀγυιέας, καὶ κατὰ τὴν Ἀττικῶν διάλεκτον ἀγυιᾶς, καθὰ καὶ Στειριᾶς καὶ Μηλιᾶς καὶ τὰ παραπλήσια λέγουσιν ἐν συναλοιφῇ. <person TLG=""0019"">Ἀριστοφάνης</person> ἐν <work TLG=""0019.024"">Ὄρνισι</work> 

<qverse TLG=""0019.024.1232"">μηλοσφαγεῖν τε βουθύτοις ἐπ' ἐσχάραις</qverse>
<qverse TLG=""0019.024.1233"">κνισᾶν τ' ἀγυιᾶς.</qverse>

φασὶ δ' αὐτὸ ἴδιον εἶναι Δωριέων, ὡς δῆλον ποιεῖ Διευχίδας ἐν τῇ γ τῶν Μεγαρικῶν. εἶεν δ' ἂν οἱ παρὰ τοῖς Ἀττικοῖς λεγόμενοι ἀγυιεῖς οἱ πρὸ τῶν οἰκιῶν βωμοὶ, ὥς φασι Κρατῖνος καὶ <person TLG=""0541"">Μένανδρος</person>. καὶ Σοφοκλῆς ἐν τῷ Λαοκόωντι, μετάγων τὰ Ἀθηναίων ἔθη εἰς Τροίαν, φησὶ  

<qverse>λάμπει δ' ἀγυιεὺς βωμὸς ἀτμίζων πυρὶ</qverse>
<qverse>σμύρνης σταλαγμοὺς, βαρβάρων εὐοσμίας.</qverse>","alpha,383"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγύρριος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agurrios,"Ἀγύρριος: δημαγωγὸς οὗτος οὐκ ἀφανής· <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.024"">κατὰ Τιμοκράτους</work><ref TLG=""0014.024.134""/>.","alpha,385"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγωνίαν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agonian,"Ἀγωνίαν: τὸ ἀγωνίζεσθαι <person TLG=""0010"">Ἰσοκράτης</person> ἐν τῷ <work TLG=""0010.019"">περὶ τῆς ἀντιδόσεως</work><ref TLG=""0010.019.183""|TLG=""0010.019.302""/>.","alpha,331"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγωνιῶντες,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agoniontes,"Ἀγωνιῶντες: ἀντὶ τοῦ ἀγωνιζόμενοι παρὰ <person TLG=""0010"">τῷ αὐτῷ</person> ἐν τῷ <work TLG=""0010.011"">Πανηγυρικῷ</work>.","alpha,334"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδέητος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adeetos,"Ἀδέητος: ἀντὶ τοῦ ἀνενδεής παρ' <person TLG=""0028"">Ἀντιφῶντι</person> Ἀληθείας α.","alpha,435"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδελφίζειν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adelfizein,"Ἀδελφίζειν: ἀντὶ τοῦ ἀδελφὸν καλεῖν παρ' <person TLG=""0010"">Ἰσοκράτει</person> ἐν <work TLG=""0010.006"">Αἰγινητικῷ</work> καὶ Ἑκαταίῳ τῷ Μιλησίῳ ἐν β Γενεαλογιῶν καὶ <person TLG=""0508"">Στράττιδι</person> καὶ <person TLG=""0414"">Ἀπολλοφάνει</person> ἐν Ἰφιγέροντι.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδημονούσης,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.ademonouses,Ἀδημονούσης: ἀπορούσης.,"alpha,459"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδηφάγους_τριήρεις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adefagous_triereis,"Ἀδηφάγους τριήρεις: <person TLG=""0540"">Λυσίας</person> λέγει ἐν τῇ ὑπὲρ Εὐκρίτου διαμαρτυρίᾳ, εἰ γνήσιος ὁ λόγος, καὶ Ἀδηφάγον Πεντηκόντορον Φίλιστος· λέγοιεν δ' ἂν τὰς ἐντελομίσθους καὶ πολλὰ ἀναλισκούσας. ἔοικε δὲ ἐκ μεταφορᾶς τῶν ἵππων τῶν τελείων καὶ ἀγωνιστῶν λέγεσθαι, οἵτινες εἰώθασιν <qverse TLG=""0012.001.5.203"">ἔδμεναι ἄδδην</qverse> κατὰ <person TLG=""0012"">τὸν ποιητήν</person>. <person TLG=""0400"">Ἀλκαῖος</person> δὲ ἐν τῇ κωμῳδοτραγῳδίᾳ τοὺς πότας λύχνους ἀδηφάγους εἶπεν.","alpha,469"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδιάστατον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adiastaton,"Ἀδιάστατον: τὸ μήπω διεστηκὸς μηδὲ διακεκριμένον <person TLG=""0028"">Ἀντιφῶν</person> εἶπεν.","alpha,477"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδικίου,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adikiou,"Ἀδικίου: οἷον ἀδικήματος. ἔστι δὲ ὄνομα δίκης. ἀποτίνυται δὲ τοῦτο ἁπλοῦν, ἐὰν πρὸ τῆς θ πρυτανείας ἀποδοθῇ· εἰ δὲ μὴ, διπλοῦν καταβάλλεται.","alpha,486"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδοκίμαστος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adokimastos,"Ἀδοκίμαστος: δοκιμασθῆναι τὸ εἰς ἄνδρας ἐγγραφῆναι, καὶ ἀδοκίμαστος ὁ μήπω ἐγγεγραμμένος παρὰ <person TLG=""0540"">Λυσίᾳ</person> ἐν τῷ κατὰ Δημοσθένους ἐπιτροπῆς, εἰ γνήσιος.","alpha,499"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδράστειαν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adrasteian,"Ἀδράστειαν: οἱ μὲν τὴν αὐτὴν λέγουσι τῇ Νεμέσει, λαβεῖν τε τοὔνομα ἀπὸ Ἀδράστου τοῦ Ταλαοῦ νεμεσηθέντος ἐφ' οἷς τῶν Θηβαίων κατηλαζονεύσατο, εἶτα ἔκ τινων μαντειῶν ἱδρυσαμένου ἱερὸν Νεμέσεως, ὃ προσαγορευθῆναι μετὰ ταῦτα Ἀδραστείας, ὡς Ἀντίμαχος ἐν τούτοις δηλοῖ· 

<qverse>ἔστι δέ τις Νέμεσις μεγάλη θεὸς, ἣ τάδε πάντα</qverse>
<qverse>πρὸς μακάρων ἔλαχεν. βωμὸν δέ οἱ εἵσατο πρῶτος</qverse>
<qverse>Ἄδρηστος ποταμοῖο παρὰ ῥόον Αἰσήποιο,</qverse> 
<qverse>ἔνθα τετίμηταί τε καὶ Ἀδρήστεια καλεῖται.</qverse> 

ἔνιοι μέντοι ὡς διαφέρουσαν συγκαταλέγουσιν αὐτὴν τῇ Νεμέσει, ὡς <person TLG=""0541"">Μένανδρος</person> καὶ Νικόστρατος. Δημήτριος δὲ ὁ Σκήψιος Ἄρτεμίν φησιν εἶναι τὴν Ἀδράστειαν, ὑπὸ Ἀδράστου τινὸς ἱδρυμένην.","alpha,524"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀδύνατοι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.adunatoi,"Ἀδύνατοι: <person TLG=""0026"">Αἰσχίνης</person> ἐν τῷ <work TLG=""0026.001"">κατὰ Τιμάρχου</work>. οἱ ἐντὸς τριῶν μνῶν κεκτημένοι, τὸ δὲ σῶμα πεπηρωμένοι. ἐλάμβανον δὲ οὗτοι δοκιμασθέντες ὑπὸ τῆς βουλῆς β ὀβολοὺς τῆς ἡμέρας ἑκάστης, ἢ ὀβολὸν, ὥς φησιν <person TLG=""0086"">Ἀριστοτέλης</person> ἐν <work TLG=""0086.003"">Ἀθηναίων πολιτείᾳ</work>, ὡς δὲ Φιλόχορός φησιν, θ δραχμὰς κατὰ μῆνα. ἔστι δὲ καὶ λόγος τις, ὡς λέγεται, Λυσίου περὶ τοῦ ἀδυνάτου, ἐν ᾧ ὡς ὀβολὸν λαμβάνοντος μέμνηται.","alpha,540"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀεί,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aei,"Ἀεί: ἀντὶ τοῦ ἕως παρ' <person TLG=""0028"">Ἀντιφῶντι</person> Σαμοθρᾳκικῷ. πολλὴ δὲ χρῆσις αὐτοῦ. καὶ <person TLG=""0003"">Θουκυδίδης</person> ἐν τῷ προοιμίῳ * * * οὕτως ἤρξατο 

<qverse>οὕτω μὲν οὖν μοι δεῦρ' ἀεὶ τείνει λόγους.</qverse>","alpha,605"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄϊδρις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aidris,Ἄϊδρις: ἀνεπιστήμων.,
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀειλογία,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aeilogia,"Ἀειλογία: τὸ ἀεὶ λόγον καὶ εὐθύνας ὑπέχειν. οὕτω <person TLG=""0014"">Δημοσθένης</person><ref TLG=""0014.019.2|0014.057.27""/> καὶ <person TLG=""0017"">Ἰσαῖος</person>.","alpha,628"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀειεστώ,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aeiesuo,"Ἀειεστώ: <person TLG=""0028"">Ἀντιφῶν</person> τὴν ἀϊδιότητα καὶ τὸ ἐπὶ τῶν αὐτῶν ἀεὶ ἑστάναι, ὥσπερ καὶ εὐεστὼ ἡ εὐδαιμονία καλεῖται.","alpha,618"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄερκτον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aerkton,"Ἄερκτον: ἀντὶ τοῦ ἄφρακτον καὶ πανταχόθεν καθορώμενον <person TLG=""0540"">Λυσίας</person>.","alpha,560"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀετός,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aetos,"Ἀετός: τῶν οἰκοδομημάτων τὸ κατὰ τὸν ὄροφον, ὅ τινες ἀέτωμα καλοῦσιν. <person TLG=""0019"">Ἀριστοφάνης</person> <work TLG=""0019.024"">Ὄρνισι</work> 

<qverse TLG=""0019.024.1110"">τὰς γὰρ ὑμῶν οἰκίας ἐρέψομεν πρὸς ἀετόν.</qverse>","alpha,576"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀζηνιεύς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.azenieus,"Ἀζηνιεύς: Ἀζηνία δῆμός ἐστι φυλῆς τῆς Ἱπποθωντίδος, καὶ ὁ δημότης Ἀζηνιεύς· <person TLG=""0026"">Αἰσχίνης</person> ἐν τῷ <work TLG=""0026.003"">κατὰ Κτησιφῶντος</work>.","alpha,594"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀζήτητον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.azeteton,"Ἀζήτητον: τὸ ζήτησιν καὶ κατηγορίαν ἔχειν κεκωλυμένον παρ' <person TLG=""0026"">Αἰσχίνῃ</person> ἐν τῷ <work TLG=""0026.003"">κατὰ Κτησιφῶντος</work><ref TLG=""0026.003.22""/>.","alpha,598"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀθεώρητος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.atheoretos,"Ἀθεώρητος: ἀντὶ τοῦ ἀθέατος παρ' <person TLG=""0028"">Ἀντιφῶντι</person> ἐν τῷ περὶ ὁμονοίας.","alpha,717"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀθηνόδωρος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.athenodoros,"Ἀθηνόδωρος: Ἀθηναῖος τῷ γένει, στρατιώτης· <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.023"">κατ' Ἀριστοκράτους</work><ref TLG=""0014.023.10""/>.","alpha,734"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀθμονεύς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.athmoneus,"Ἀθμονεύς: Ἀθμονία δῆμός ἐστι φυλῆς τῆς Κεκροπίδος, ἀφ' οὗ ὁ δημότης Ἀθμονεύς.","alpha,743"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰγεῖον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aigeion,"Αἰγεῖον: Αἰγέως ἡρῷον ἐν Ἀθήναις· <person TLG=""0029"">Δείναρχος</person> ἐν τῷ <work TLG=""0029.000"">κατὰ Πολυεύκτου</work>.","alphaiota,33"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰγεῖδαι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aigeidai,"Αἰγεῖδαι: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.060"">ἐπιταφίῳ</work><ref TLG=""0014.060.28""/>, εἰ γνήσιος. Αἰγηῒς φυλὴ ὠνομάσθη ἀπὸ Αἰγέως τοῦ Πανδίονος, ἔνθεν οἱ φυλέται Αἰγεῖδαι.","alphaiota,32"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰγίδας_ἐκάλουν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aigidas_ekaloun,"Αἰγίδας ἐκάλουν τὰ ἐκ τῶν στεμμάτων δίκτυα· <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ περὶ τῆς διοικήσεως καὶ Νυμφόδωρος. <person TLG=""0016"">Ἡρόδοτος</person>  δ' ἐν δ ταύτας φησὶν ὑπὸ Λιβύων αἰγέας καλεῖσθαι.","alphaiota,60"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰγιλιεύς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aigilieus,"Αἰγιλιεύς: <person TLG=""0030"">Ὑπερείδης</person>. Αἰγιλία δῆμός ἐστι φυλῆς Ἀντιοχίδος, ἔνθεν ὁ δημότης Αἰγιλιεύς.","alphaiota,47"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰδέσασθαι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aidesasthai,"Αἰδέσασθαι: ἀντὶ τοῦ μεταπεισθῆναι <person TLG=""0540"">Λυσίας</person> ἐν τῷ κατὰ Δημοσθένους ἐπιτροπῆς, εἰ γνήσιος, καὶ <person TLG=""0014"">Δημοσθένης</person> ἐν τῇ <work TLG=""0014.038"">πρὸς Ναυσίμαχον καὶ Ξενοπείθην</work><ref TLG=""0014.038.22""/>. ἐν δὲ τῷ <work TLG=""0014.023"">κατ' Ἀριστοκράτους</work><ref TLG=""0014.023.72""/> οὗτος ἀντὶ τοῦ ἐξιλάσασθαι καὶ πεῖσαι.","alphaiota,78"
urn:cts:greekLit:tlg1389.tlg001.dc3:αἰθαλίδης,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.aithalides,"Αἰθαλίδης: δῆμός ἐστιν Αἰθαλίδαι τῆς Λεοντίδος φυλῆς, ἧς ὁ δημότης Αἰθαλίδης.","alphaiota,107"
